CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Female,27,70,85
2,Male,35,60,70
3,Female,48,45,55
4,Male,50,65,40
5,Female,21,30,90
6,Male,40,80,10
7,Female,33,55,60
8,Female,33,45,75
9,Male,33,70,25
10,Male,33,50,50
11,Female,33,60,70
12,Female,45,55,65
13,Male,45,75,30
14,Male,45,40,80
15,Female,53,35,95
16,Female,34,50,60
17,Male,33,65,35
18,Male,63,85,20
19,Female,63,25,100
20,Male,63,70,45
21,Male,63,60,55
22,Female,63,40,75
23,Male,63,80,30
24,Female,63,35,90
25,Female,63,45,70
26,Male,33,60,45
27,Female,30,70,80
28,Female,33,40,75
29,Male,50,75,35
30,Male,44,35,90
31,Female,45,80,20
32,Male,56,55,60
33,Female,77,65,55
34,Male,88,50,70
35,Male,33,45,50
36,Female,45,30,85
37,Female,55,55,65
38,Male,89,60,40
39,Male,85,70,25
40,Female,56,40,75
41,Female,23,45,80
42,Male,45,80,35
43,Male,65,35,95
44,Female,85,25,100
45,Male,33,65,45
46,Male,55,50,55
47,Female,64,40,70
48,Male,53,85,30
49,Female,23,20,90
50,Female,34,35,75
51,Male,67,60,45
52,Female,81,70,80
53,Female,45,40,75
54,Male,33,75,35
55,Male,33,35,90
56,Female,33,80,20
57,Male,33,55,60
58,Female,33,65,55
59,Male,33,50,70
60,Male,33,45,50
61,Female,33,30,85
62,Female,33,55,65
63,Male,33,60,40
64,Male,33,70,25
65,Female,33,40,75
66,Female,33,45,80
67,Male,33,80,35
68,Male,33,35,95
69,Female,33,25,100
70,Male,33,65,45
71,Male,33,50,55
72,Female,33,40,70
73,Male,33,85,30
74,Female,33,20,90
75,Female,33,15,39
76,Male,33,15,81
77,Female,33,16,6
78,Female,33,16,77
79,Male,33,17,40
80,Male,33,17,76
81,Female,33,18,6
82,Male,33,18,94
83,Female,33,19,3
84,Male,33,19,72
85,Male,33,19,14
86,Female,33,19,99
87,Male,33,20,15
88,Female,33,20,77
89,Male,33,20,13
90,Male,33,20,79
91,Female,33,21,35
92,Female,33,21,66
93,Male,33,23,29
94,Male,33,23,98
95,Female,33,24,35
96,Female,33,24,73
97,Male,33,25,5
98,Male,33,25,73
99,Female,33,28,14
100,Male,33,28,82
101,Female,33,28,32
102,Male,33,28,61
103,Female,33,29,31
104,Female,33,29,87
105,Male,33,30,4
106,Female,33,30,73
107,Female,33,33,4
108,Male,33,33,92
109,Male,33,33,14
110,Female,33,33,81
111,Female,33,34,17
112,Male,33,34,73
113,Female,33,37,26
114,Male,33,37,75
115,Male,33,38,35
116,Female,33,38,92
117,Female,33,39,36
118,Male,33,39,61
119,Male,33,39,28
120,Female,33,39,65
121,Female,33,40,55
122,Male,33,40,47
123,Male,33,40,42
124,Female,33,40,42
125,Male,33,42,52
126,Female,33,42,60
127,Male,33,43,54
128,Female,33,43,60
129,Female,33,43,45
130,Male,33,43,41
131,Female,33,44,50
132,Female,33,44,46
133,Male,33,46,51
134,Male,33,46,46
135,Female,33,46,56
136,Female,33,46,55
137,Male,33,47,52
138,Female,33,47,59
139,Male,33,48,51
140,Male,33,48,59
141,Female,33,48,50
142,Female,33,48,48
143,Male,33,48,59
144,Male,33,48,47
145,Female,33,45,80
146,Female,33,80,35
147,Male,33,35,95
148,Male,33,25,100
149,Female,33,65,45
150,Male,33,50,55
151,Female,33,40,70
152,Male,33,85,30
153,Female,33,20,90
154,Female,33,35,75
155,Male,33,60,45
156,Female,33,70,80
157,Female,33,40,75
158,Male,33,75,35
159,Male,33,35,90
160,Female,33,80,20
161,Female,33,55,60
162,Male,33,65,55
163,Female,33,50,70
164,Male,33,45,50
165,Male,33,30,85
166,Female,33,55,65
167,Female,33,60,40
168,Male,33,70,25
169,Male,33,40,75
170,Female,33,45,80
171,Female,33,40,70
172,Male,33,55,45
173,Female,33,80,10
174,Male,33,25,85
175,Male,33,65,20
176,Female,33,70,75
177,Male,33,45,60
178,Female,33,60,35
179,Male,33,75,50
180,Female,33,35,80
181,Female,33,50,55
182,Male,33,80,30
183,Male,33,40,70
184,Female,33,55,45
185,Female,33,60,65
186,Male,33,70,40
187,Male,33,25,75
188,Female,33,65,20
189,Female,33,50,75
190,Male,33,45,60
191,Female,33,40,35
192,Male,33,70,50
193,Male,33,35,85
194,Female,33,60,10
195,Female,33,25,80
196,Male,33,50,25
197,Male,33,75,70
198,Female,33,40,45
199,Female,33,55,60
200,Male,33,65,35
201,Female,33,40,70
202,Male,33,55,45
203,Female,33,80,10
204,Male,33,25,85
205,Male,33,65,20
206,Female,33,70,75
207,Male,33,45,60
208,Female,33,60,35
209,Male,33,75,50
210,Female,33,35,80
211,Female,33,50,55
212,Male,33,80,30
213,Male,33,40,70
214,Female,33,55,45
215,Female,33,60,65
216,Male,33,70,40
217,Male,33,25,75
218,Female,33,65,20
219,Female,33,50,75
220,Male,33,45,60
221,Female,33,40,35
222,Male,33,70,50
223,Male,33,35,85
224,Female,33,60,10
225,Female,33,25,80
226,Male,33,50,25
227,Male,33,75,70
228,Female,33,40,45
229,Female,33,55,60
230,Male,33,65,35
231,Female,33,40,70
232,Male,33,55,45
233,Female,33,80,10
234,Male,33,25,85
235,Male,33,65,20
236,Female,33,70,75
237,Male,33,45,60
238,Female,33,60,35
239,Male,33,75,50
240,Female,33,35,80
241,Female,33,50,55
242,Male,33,80,30
243,Male,33,40,70
244,Female,33,55,45
245,Female,33,60,65
246,Male,33,70,40
247,Male,33,25,75
248,Female,33,65,20
249,Female,33,50,75
250,Male,33,45,60
251,Female,33,70,45
252,Male,33,40,75
253,Female,33,60,35
254,Male,33,45,85
255,Male,33,80,20
256,Female,33,35,70
257,Male,33,55,55
258,Female,33,65,50
259,Male,33,75,65
260,Female,33,50,30
261,Female,33,40,75
262,Male,33,60,40
263,Male,33,45,80
264,Female,33,70,15
265,Female,33,25,90
266,Male,33,55,45
267,Male,33,85,70
268,Female,33,35,25
269,Female,33,60,60
270,Male,33,40,55
271,Female,33,70,50
272,Male,33,45,35
273,Male,33,65,80
274,Female,33,50,65
275,Female,33,55,20
276,Male,33,30,75
277,Male,33,75,40
278,Female,33,60,85
279,Female,33,35,10
280,Male,33,50,95
281,Female,33,70,45
282,Male,33,40,75
283,Female,33,60,35
284,Male,33,45,85
285,Male,33,80,20
286,Female,33,35,70
287,Male,33,55,55
288,Female,33,65,50
289,Male,33,75,65
290,Female,33,50,30
291,Female,33,40,75
292,Male,33,60,40
293,Male,33,45,80
294,Female,33,70,15
295,Female,33,25,90
296,Male,33,55,45
297,Male,33,85,70
298,Female,33,35,25
299,Female,33,60,60
300,Male,33,40,55
